ra,nome_exibicao,ano_referencia,origem_aba,fase,turma,ciclo_programa,pedra_atual,genero,idade,ano_nasc,ano_ingresso,anos_no_programa,instituicao,fase_ideal_num,inde_22,inde_23,inde_24,inde_atual,inde_anterior,delta_inde,cg,cf,ct,n_av,iaa,ieg,ips,ipp,ida,ipv,ian,categoria_ian,risco_atual,mat,por,ing,media_academica,media_comportamental,defasagem
RA-108,Aluno-108,2022,PEDE2022,4,A,Quartzo,Quartzo,Feminino,17.0,2005.0,2019,3.0,Escola Pública,7.0,5.547,,,5.547,,,784.0,72.0,15.0,4.0,4.6,7.7,5.0,,5.0,6.125,2.5,Defasagem severa,1.0,3.0,5.8,6.2,5.0,5.766666666666667,-3
RA-109,Aluno-109,2022,PEDE2022,4,A,Topazio,Topazio,Masculino,16.0,2006.0,2021,1.0,Rede Decisão,6.0,8.512,,,8.512,,,33.0,4.0,2.0,4.0,8.8,10.0,8.8,,8.4,8.667,5.0,Defasagem moderada,1.0,7.8,7.5,9.9,8.4,9.200000000000001,-2
RA-11,Aluno-11,2022,PEDE2022,7,A,Quartzo,Quartzo,Feminino,18.0,2004.0,2016,6.0,Escola Pública,8.0,5.323,,,5.323,,,799.0,19.0,11.0,4.0,9.2,4.2,5.0,,3.0,6.389,5.0,Defasagem moderada,1.0,1.8,2.5,4.5,2.9333333333333336,6.133333333333333,-1
RA-110,Aluno-110,2022,PEDE2022,4,A,Topazio,Topazio,Masculino,14.0,2008.0,2017,5.0,Rede Decisão,4.0,8.15,,,8.15,,,100.0,10.0,3.0,4.0,9.2,9.7,5.6,,6.7,8.0,10.0,Adequado,0.0,8.3,5.7,6.0,6.666666666666667,8.166666666666666,0
RA-111,Aluno-111,2022,PEDE2022,4,A,Topazio,Topazio,Feminino,13.0,2009.0,2020,2.0,Rede Decisão,3.0,8.646,,,8.646,,,22.0,2.0,1.0,4.0,7.5,9.4,8.1,,8.0,8.667,10.0,Adequado,0.0,6.7,7.5,9.7,7.966666666666666,8.333333333333334,1
RA-112,Aluno-112,2022,PEDE2022,4,A,Ametista,Ametista,Feminino,15.0,2007.0,2016,6.0,Rede Decisão,5.0,7.836,,,7.836,,,189.0,17.0,6.0,4.0,7.9,7.8,6.3,,8.5,8.833,5.0,Defasagem moderada,1.0,9.0,7.5,9.1,8.533333333333333,7.333333333333333,-1
RA-113,Aluno-113,2022,PEDE2022,4,A,Quartzo,Quartzo,Feminino,15.0,2007.0,2017,5.0,Rede Decisão,5.0,3.032,,,3.032,,,862.0,76.0,16.0,4.0,0.0,0.0,5.0,,3.7,3.792,5.0,Defasagem moderada,1.0,3.3,5.5,2.3,3.7000000000000006,1.6666666666666667,-1
RA-114,Aluno-114,2022,PEDE2022,4,A,Quartzo,Quartzo,Masculino,16.0,2006.0,2022,0.0,Escola Pública,6.0,5.894,,,5.894,,,738.0,66.0,13.0,4.0,7.9,6.3,7.5,,5.3,5.0,5.0,Defasagem moderada,1.0,6.0,4.5,,5.25,7.233333333333333,-2
RA-115,Aluno-115,2022,PEDE2022,4,A,Quartzo,Quartzo,Feminino,16.0,2006.0,2019,3.0,Escola Pública,6.0,5.886,,,5.886,,,740.0,67.0,14.0,4.0,8.3,6.8,6.3,,3.8,5.583,5.0,Defasagem moderada,1.0,3.0,5.7,2.7,3.7999999999999994,7.133333333333334,-2
RA-116,Aluno-116,2022,PEDE2022,4,B,Agata,Agata,Feminino,16.0,2006.0,2019,3.0,Escola Pública,6.0,6.854,,,6.854,,,538.0,46.0,8.0,4.0,5.8,8.1,6.3,,5.9,7.792,5.0,Defasagem moderada,1.0,5.0,7.2,5.5,5.8999999999999995,6.733333333333333,-2
RA-117,Aluno-117,2022,PEDE2022,4,B,Agata,Agata,Feminino,15.0,2007.0,2022,0.0,Escola Pública,5.0,6.685,,,6.685,,,593.0,55.0,10.0,4.0,7.9,6.3,6.9,,6.1,7.417,5.0,Defasagem moderada,1.0,4.7,6.7,7.0,6.133333333333333,7.033333333333334,-1
RA-118,Aluno-118,2022,PEDE2022,4,B,Quartzo,Quartzo,Feminino,14.0,2008.0,2021,1.0,Escola Pública,4.0,5.597,,,5.597,,,775.0,70.0,12.0,4.0,0.0,5.3,6.3,,3.9,6.958,10.0,Adequado,0.0,3.7,4.7,3.5,3.966666666666667,3.8666666666666667,0
RA-119,Aluno-119,2022,PEDE2022,4,B,Ametista,Ametista,Feminino,14.0,2008.0,2016,6.0,Rede Decisão,4.0,7.501,,,7.501,,,311.0,26.0,3.0,4.0,8.3,8.2,5.6,,5.4,7.875,10.0,Adequado,0.0,5.7,7.0,3.4,5.366666666666666,7.366666666666667,0
RA-12,Aluno-12,2022,PEDE2022,7,A,Quartzo,Quartzo,Feminino,17.0,2005.0,2020,2.0,Escola Pública,7.0,4.832,,,4.832,,,834.0,20.0,12.0,4.0,0.0,4.0,6.9,,1.5,6.389,10.0,Adequado,0.0,2.7,1.1,0.7,1.5,3.6333333333333333,0
RA-120,Aluno-120,2022,PEDE2022,4,B,Agata,Agata,Masculino,15.0,2007.0,2019,3.0,Escola Pública,5.0,6.825,,,6.825,,,547.0,48.0,9.0,4.0,8.3,5.9,7.5,,6.2,7.667,5.0,Defasagem moderada,1.0,3.7,5.2,9.7,6.2,7.233333333333334,-1
RA-121,Aluno-121,2022,PEDE2022,4,B,Ametista,Ametista,Feminino,16.0,2006.0,2021,1.0,Escola Pública,6.0,7.245,,,7.245,,,413.0,33.0,5.0,4.0,7.1,8.4,6.3,,7.2,7.625,5.0,Defasagem moderada,1.0,5.7,6.8,9.0,7.166666666666667,7.266666666666667,-2
RA-122,Aluno-122,2022,PEDE2022,4,B,Quartzo,Quartzo,Feminino,14.0,2008.0,2019,3.0,Escola Pública,4.0,5.061,,,5.061,,,818.0,74.0,14.0,4.0,7.9,3.4,7.5,,1.8,4.958,10.0,Adequado,0.0,1.7,3.7,0.0,1.8,6.266666666666667,0
RA-123,Aluno-123,2022,PEDE2022,4,B,Ametista,Ametista,Masculino,16.0,2006.0,2017,5.0,Rede Decisão,6.0,7.084,,,7.084,,,461.0,37.0,6.0,4.0,7.9,8.6,5.6,,6.5,7.292,5.0,Defasagem moderada,1.0,7.3,6.3,5.9,6.5,7.366666666666667,-2
RA-124,Aluno-124,2022,PEDE2022,4,B,Ametista,Ametista,Masculino,14.0,2008.0,2016,6.0,Rede Decisão,4.0,7.388,,,7.388,,,365.0,29.0,4.0,4.0,7.9,7.8,5.0,,6.7,7.167,10.0,Adequado,0.0,5.7,7.0,7.5,6.733333333333333,6.8999999999999995,0
RA-125,Aluno-125,2022,PEDE2022,4,B,Ametista,Ametista,Feminino,15.0,2007.0,2022,0.0,Escola Pública,5.0,7.619,,,7.619,,,266.0,21.0,2.0,4.0,8.8,8.5,7.5,,7.1,7.75,5.0,Defasagem moderada,1.0,5.0,7.2,9.2,7.133333333333333,8.266666666666667,-1
RA-126,Aluno-126,2022,PEDE2022,4,B,Agata,Agata,Masculino,15.0,2007.0,2018,4.0,Escola Pública,5.0,6.289,,,6.289,,,689.0,62.0,11.0,4.0,7.1,5.8,7.5,,4.4,7.417,5.0,Defasagem moderada,1.0,4.0,5.0,4.2,4.3999999999999995,6.8,-1
RA-127,Aluno-127,2022,PEDE2022,4,B,Topazio,Topazio,Feminino,14.0,2008.0,2022,0.0,Escola Pública,4.0,8.283,,,8.283,,,63.0,7.0,1.0,4.0,7.5,8.7,7.5,,7.9,8.125,10.0,Adequado,0.0,7.7,7.7,8.3,7.900000000000001,7.8999999999999995,0
RA-128,Aluno-128,2022,PEDE2022,4,B,Quartzo,Quartzo,Masculino,15.0,2007.0,2019,3.0,Escola Pública,5.0,5.563,,,5.563,,,778.0,71.0,13.0,4.0,0.0,6.2,7.5,,5.6,6.167,5.0,Defasagem moderada,1.0,6.7,6.8,3.2,5.566666666666666,4.566666666666666,-1
RA-129,Aluno-129,2022,PEDE2022,4,B,Agata,Agata,Masculino,15.0,2007.0,2019,3.0,Escola Pública,5.0,6.926,,,6.926,,,516.0,42.0,7.0,4.0,6.7,6.4,7.5,,6.7,7.792,5.0,Defasagem moderada,1.0,6.0,5.3,8.7,6.666666666666667,6.866666666666667,-1
RA-13,Aluno-13,2022,PEDE2022,7,A,Agata,Agata,Masculino,18.0,2004.0,2016,6.0,Escola Pública,8.0,6.902,,,6.902,,,524.0,10.0,4.0,4.0,7.9,7.4,7.5,,4.7,8.056,5.0,Defasagem moderada,1.0,3.5,5.5,5.2,4.733333333333333,7.6000000000000005,-1
RA-130,Aluno-130,2022,PEDE2022,4,F,Quartzo,Quartzo,Feminino,16.0,2006.0,2018,4.0,Escola Pública,6.0,5.624,,,5.624,,,772.0,69.0,14.0,4.0,8.3,4.7,5.0,,4.1,6.5,5.0,Defasagem moderada,1.0,3.7,5.2,3.5,4.133333333333334,6.0,-2
RA-131,Aluno-131,2022,PEDE2022,4,F,Ametista,Ametista,Feminino,15.0,2007.0,2016,6.0,Escola Pública,5.0,7.174,,,7.174,,,440.0,35.0,7.0,4.0,8.8,9.0,5.6,,5.6,7.75,5.0,Defasagem moderada,1.0,6.0,6.5,4.2,5.566666666666666,7.8,-1
RA-132,Aluno-132,2022,PEDE2022,4,F,Topazio,Topazio,Feminino,14.0,2008.0,2019,3.0,Rede Decisão,4.0,8.355,,,8.355,,,53.0,5.0,2.0,4.0,10.0,8.8,5.6,,7.7,8.458,10.0,Adequado,0.0,6.5,7.5,9.1,7.7,8.133333333333333,0
RA-133,Aluno-133,2022,PEDE2022,4,F,Agata,Agata,Feminino,15.0,2007.0,2016,6.0,Escola Pública,5.0,6.875,,,6.875,,,530.0,45.0,10.0,4.0,7.9,7.1,7.5,,5.6,7.625,5.0,Defasagem moderada,1.0,4.7,7.2,5.0,5.633333333333333,7.5,-1
RA-134,Aluno-134,2022,PEDE2022,4,F,Agata,Agata,Feminino,15.0,2007.0,2021,1.0,Escola Pública,5.0,6.607,,,6.607,,,623.0,56.0,12.0,4.0,8.8,6.8,7.5,,4.7,7.375,5.0,Defasagem moderada,1.0,4.7,6.8,2.5,4.666666666666667,7.7,-1
RA-135,Aluno-135,2022,PEDE2022,4,F,Ametista,Ametista,Feminino,15.0,2007.0,2019,3.0,Escola Pública,5.0,7.692,,,7.692,,,237.0,20.0,4.0,4.0,8.3,7.8,5.6,,8.6,8.583,5.0,Defasagem moderada,1.0,8.0,8.2,9.5,8.566666666666666,7.233333333333334,-1
RA-136,Aluno-136,2022,PEDE2022,4,F,Agata,Agata,Masculino,15.0,2007.0,2019,3.0,Escola Pública,5.0,6.478,,,6.478,,,646.0,59.0,13.0,4.0,10.0,6.3,7.5,,4.6,6.667,5.0,Defasagem moderada,1.0,5.3,5.7,2.8,4.6000000000000005,7.933333333333334,-1
RA-137,Aluno-137,2022,PEDE2022,4,F,Ametista,Ametista,Feminino,17.0,2005.0,2016,6.0,Rede Decisão,7.0,7.056,,,7.056,,,468.0,38.0,9.0,4.0,7.5,8.9,5.0,,7.3,7.792,2.5,Defasagem severa,1.0,6.0,7.3,8.5,7.266666666666667,7.133333333333333,-3
RA-138,Aluno-138,2022,PEDE2022,4,F,Agata,Agata,Masculino,15.0,2007.0,2016,6.0,Escola Pública,5.0,6.738,,,6.738,,,573.0,53.0,11.0,4.0,9.6,8.0,5.6,,5.6,6.375,5.0,Defasagem moderada,1.0,5.0,6.5,5.2,5.566666666666666,7.733333333333334,-1
RA-139,Aluno-139,2022,PEDE2022,4,F,Quartzo,Quartzo,Masculino,17.0,2005.0,2019,3.0,Escola Pública,7.0,3.738,,,3.738,,,858.0,75.0,15.0,4.0,7.1,3.5,5.0,,1.4,3.917,2.5,Defasagem severa,1.0,1.7,2.7,0.0,1.4666666666666668,5.2,-3
RA-14,Aluno-14,2022,PEDE2022,7,D,Agata,Agata,Masculino,21.0,2001.0,2022,0.0,Escola Pública,8.0,6.793,,,6.793,,,558.0,12.0,7.0,4.0,7.9,8.3,7.5,,4.0,7.75,5.0,Defasagem moderada,1.0,8.0,0.0,,4.0,7.900000000000001,-1
RA-140,Aluno-140,2022,PEDE2022,4,F,Ametista,Ametista,Feminino,14.0,2008.0,2021,1.0,Escola Pública,4.0,7.407,,,7.407,,,358.0,28.0,6.0,4.0,7.9,7.6,6.9,,5.7,7.667,10.0,Adequado,0.0,5.0,6.5,5.6,5.7,7.466666666666666,0
RA-141,Aluno-141,2022,PEDE2022,4,F,Ametista,Ametista,Masculino,14.0,2008.0,2017,5.0,Escola Pública,4.0,7.118,,,7.118,,,450.0,36.0,8.0,4.0,9.2,8.2,5.6,,5.7,5.917,10.0,Adequado,0.0,5.8,6.2,5.0,5.666666666666667,7.666666666666667,0
RA-142,Aluno-142,2022,PEDE2022,4,F,Ametista,Ametista,Feminino,14.0,2008.0,2021,1.0,Escola Pública,4.0,7.457,,,7.457,,,332.0,27.0,5.0,4.0,6.7,8.6,5.6,,6.3,7.583,10.0,Adequado,0.0,6.0,6.8,6.0,6.266666666666667,6.966666666666666,0
RA-143,Aluno-143,2022,PEDE2022,4,F,Topazio,Topazio,Masculino,13.0,2009.0,2019,3.0,Rede Decisão,3.0,8.638,,,8.638,,,24.0,3.0,1.0,4.0,8.3,9.9,5.6,,7.9,9.5,10.0,Adequado,0.0,9.7,7.7,6.4,7.933333333333333,7.9333333333333345,1
RA-144,Aluno-144,2022,PEDE2022,4,F,Topazio,Topazio,Feminino,14.0,2008.0,2017,5.0,Rede Decisão,4.0,8.181,,,8.181,,,89.0,9.0,3.0,4.0,7.5,9.3,5.0,,7.9,8.292,10.0,Adequado,0.0,7.5,7.2,9.0,7.8999999999999995,7.266666666666667,0
RA-145,Aluno-145,2022,PEDE2022,4,H,Quartzo,Quartzo,Masculino,16.0,2006.0,2017,5.0,Escola Pública,6.0,5.846,,,5.846,,,746.0,68.0,7.0,4.0,0.0,6.3,8.1,,5.2,7.25,5.0,Defasagem moderada,1.0,3.0,4.8,7.8,5.2,4.8,-2
RA-146,Aluno-146,2022,PEDE2022,4,H,Ametista,Ametista,Feminino,15.0,2007.0,2022,0.0,Escola Pública,5.0,7.947,,,7.947,,,156.0,15.0,1.0,4.0,8.3,9.2,7.5,,7.9,8.208,5.0,Defasagem moderada,1.0,6.3,7.3,10.0,7.866666666666667,8.333333333333334,-1
RA-147,Aluno-147,2022,PEDE2022,4,H,Ametista,Ametista,Feminino,14.0,2008.0,2022,0.0,Escola Pública,4.0,7.541,,,7.541,,,293.0,24.0,4.0,4.0,8.3,7.7,7.5,,6.1,7.25,10.0,Adequado,0.0,5.8,4.8,7.7,6.1000000000000005,7.833333333333333,0
RA-148,Aluno-148,2022,PEDE2022,4,H,Ametista,Ametista,Masculino,14.0,2008.0,2022,0.0,Escola Pública,4.0,7.894,,,7.894,,,172.0,16.0,2.0,4.0,9.2,7.9,10.0,,5.3,7.708,10.0,Adequado,0.0,4.7,6.3,5.0,5.333333333333333,9.033333333333333,0
RA-149,Aluno-149,2022,PEDE2022,4,H,Agata,Agata,Feminino,15.0,2007.0,2022,0.0,Escola Pública,5.0,6.323,,,6.323,,,679.0,60.0,6.0,4.0,9.2,6.5,7.5,,5.0,6.125,5.0,Defasagem moderada,1.0,4.0,6.0,,5.0,7.733333333333333,-1
RA-15,Aluno-15,2022,PEDE2022,7,D,Ametista,Ametista,Masculino,18.0,2004.0,2022,0.0,Escola Pública,8.0,7.783,,,7.783,,,207.0,3.0,2.0,4.0,8.8,10.0,7.5,,7.3,7.292,5.0,Defasagem moderada,1.0,8.0,6.5,,7.25,8.766666666666667,-1
RA-150,Aluno-150,2022,PEDE2022,4,H,Agata,Agata,Feminino,16.0,2006.0,2020,2.0,Escola Pública,6.0,6.962,,,6.962,,,498.0,41.0,5.0,4.0,9.6,6.3,6.9,,6.9,7.333,5.0,Defasagem moderada,1.0,5.3,6.7,8.6,6.866666666666667,7.599999999999999,-2
RA-151,Aluno-151,2022,PEDE2022,4,H,Ametista,Ametista,Feminino,16.0,2006.0,2020,2.0,Escola Pública,6.0,7.563,,,7.563,,,289.0,23.0,3.0,4.0,8.8,7.5,6.9,,8.3,7.958,5.0,Defasagem moderada,1.0,7.3,8.0,9.5,8.266666666666667,7.733333333333334,-2
RA-152,Aluno-152,2022,PEDE2022,4,L,Agata,Agata,Feminino,16.0,2006.0,2022,0.0,Escola Pública,6.0,6.712,,,6.712,,,586.0,54.0,13.0,4.0,8.3,7.0,7.5,,6.5,6.292,5.0,Defasagem moderada,1.0,4.0,7.0,8.5,6.5,7.6000000000000005,-2
RA-153,Aluno-153,2022,PEDE2022,4,L,Ametista,Ametista,Feminino,14.0,2008.0,2018,4.0,Rede Decisão,4.0,7.535,,,7.535,,,297.0,25.0,5.0,4.0,7.9,8.2,5.0,,6.6,7.708,10.0,Adequado,0.0,3.3,7.7,8.8,6.6000000000000005,7.033333333333334,0
RA-154,Aluno-154,2022,PEDE2022,4,L,Agata,Agata,Masculino,15.0,2007.0,2017,5.0,Escola Pública,5.0,6.073,,,6.073,,,714.0,65.0,15.0,4.0,8.3,6.1,6.3,,4.0,6.833,5.0,Defasagem moderada,1.0,3.7,6.2,2.1,4.0,6.8999999999999995,-1
RA-155,Aluno-155,2022,PEDE2022,4,L,Ametista,Ametista,Masculino,16.0,2006.0,2022,0.0,Escola Pública,6.0,7.051,,,7.051,,,470.0,39.0,9.0,4.0,10.0,8.3,7.5,,5.2,6.833,5.0,Defasagem moderada,1.0,4.3,6.8,4.3,5.133333333333333,8.6,-2
RA-156,Aluno-156,2022,PEDE2022,4,L,Ametista,Ametista,Masculino,15.0,2007.0,2018,4.0,Escola Pública,5.0,7.357,,,7.357,,,376.0,30.0,6.0,4.0,10.0,8.3,9.4,,4.4,7.792,5.0,Defasagem moderada,1.0,4.7,6.5,2.1,4.433333333333333,9.233333333333334,-1
RA-157,Aluno-157,2022,PEDE2022,4,L,Topazio,Topazio,Feminino,12.0,2010.0,2018,4.0,Rede Decisão,3.0,8.317,,,8.317,,,59.0,6.0,1.0,4.0,7.5,10.0,6.3,,7.7,8.292,10.0,Adequado,0.0,7.0,7.5,8.7,7.733333333333333,7.933333333333334,1
RA-158,Aluno-158,2022,PEDE2022,4,L,Ametista,Ametista,Feminino,17.0,2005.0,2017,5.0,Rede Decisão,7.0,7.302,,,7.302,,,392.0,32.0,7.0,4.0,7.9,9.8,5.6,,6.6,8.125,2.5,Defasagem severa,1.0,5.0,6.7,8.1,6.599999999999999,7.766666666666668,-3
RA-159,Aluno-159,2022,PEDE2022,4,L,Agata,Agata,Feminino,15.0,2007.0,2021,1.0,Escola Pública,5.0,6.49,,,6.49,,,644.0,58.0,14.0,4.0,8.3,8.1,5.6,,4.7,6.458,5.0,Defasagem moderada,1.0,4.3,5.8,3.9,4.666666666666667,7.333333333333333,-1
RA-16,Aluno-16,2022,PEDE2022,7,D,Agata,Agata,Masculino,19.0,2003.0,2022,0.0,Escola Pública,8.0,6.112,,,6.112,,,706.0,14.0,8.0,4.0,7.9,8.3,5.0,,3.5,6.333,5.0,Defasagem moderada,1.0,7.0,0.0,,3.5,7.066666666666667,-1
RA-160,Aluno-160,2022,PEDE2022,4,L,Agata,Agata,Feminino,15.0,2007.0,2021,1.0,Escola Pública,5.0,6.746,,,6.746,,,568.0,52.0,12.0,4.0,7.5,7.2,5.6,,5.3,8.25,5.0,Defasagem moderada,1.0,2.7,6.0,7.1,5.266666666666667,6.766666666666666,-1
RA-161,Aluno-161,2022,PEDE2022,4,L,Ametista,Ametista,Feminino,11.0,2011.0,2018,4.0,Rede Decisão,2.0,7.957,,,7.957,,,153.0,14.0,4.0,4.0,7.9,9.1,5.6,,6.9,8.083,10.0,Adequado,0.0,5.3,6.8,8.5,6.866666666666667,7.533333333333334,2
RA-162,Aluno-162,2022,PEDE2022,4,L,Ametista,Ametista,Feminino,14.0,2008.0,2021,1.0,Escola Pública,4.0,7.215,,,7.215,,,423.0,34.0,8.0,4.0,6.7,8.5,7.5,,5.5,6.542,10.0,Adequado,0.0,4.7,5.5,6.4,5.533333333333334,7.566666666666666,0
RA-163,Aluno-163,2022,PEDE2022,4,L,Agata,Agata,Feminino,15.0,2007.0,2021,1.0,Escola Pública,5.0,6.797,,,6.797,,,556.0,49.0,10.0,4.0,8.8,7.9,5.6,,6.7,6.5,5.0,Defasagem moderada,1.0,6.5,6.3,7.4,6.733333333333334,7.4333333333333345,-1
RA-164,Aluno-164,2022,PEDE2022,4,L,Agata,Agata,Masculino,16.0,2006.0,2018,4.0,Escola Pública,6.0,6.776,,,6.776,,,562.0,50.0,11.0,4.0,8.3,7.3,5.6,,6.5,7.208,5.0,Defasagem moderada,1.0,4.7,6.5,8.3,6.5,7.066666666666667,-2
RA-165,Aluno-165,2022,PEDE2022,4,L,Topazio,Topazio,Feminino,14.0,2008.0,2017,5.0,Rede Decisão,4.0,8.063,,,8.063,,,128.0,12.0,3.0,4.0,7.1,9.8,5.6,,7.6,7.5,10.0,Adequado,0.0,5.3,7.8,9.7,7.599999999999999,7.5,0
RA-166,Aluno-166,2022,PEDE2022,4,L,Topazio,Topazio,Masculino,14.0,2008.0,2020,2.0,Escola Pública,4.0,8.253,,,8.253,,,73.0,8.0,2.0,4.0,9.2,9.0,6.3,,8.1,7.542,10.0,Adequado,0.0,7.0,7.2,10.0,8.066666666666666,8.166666666666666,0
RA-167,Aluno-167,2022,PEDE2022,4,P,Ametista,Ametista,Feminino,16.0,2006.0,2018,4.0,Rede Decisão,6.0,7.798,,,7.798,,,200.0,19.0,3.0,4.0,9.2,9.7,5.6,,7.9,7.833,5.0,Defasagem moderada,1.0,9.3,8.0,6.3,7.866666666666667,8.166666666666666,-2
RA-168,Aluno-168,2022,PEDE2022,4,P,Agata,Agata,Feminino,15.0,2007.0,2018,4.0,Rede Decisão,5.0,6.917,,,6.917,,,522.0,44.0,5.0,4.0,7.9,8.3,6.3,,5.9,7.083,5.0,Defasagem moderada,1.0,4.7,8.2,5.0,5.966666666666666,7.500000000000001,-1
RA-169,Aluno-169,2022,PEDE2022,4,P,Quartzo,Quartzo,Feminino,15.0,2007.0,2018,4.0,Escola Pública,5.0,5.159,,,5.159,,,814.0,73.0,9.0,4.0,7.5,5.1,6.3,,3.2,4.792,5.0,Defasagem moderada,1.0,1.3,4.5,3.8,3.1999999999999997,6.3,-1
RA-17,Aluno-17,2022,PEDE2022,7,D,Topazio,Topazio,Masculino,20.0,2002.0,2022,0.0,Escola Pública,8.0,8.068,,,8.068,,,125.0,2.0,1.0,4.0,8.8,10.0,7.5,,7.8,8.292,5.0,Defasagem moderada,1.0,9.0,6.5,,7.75,8.766666666666667,-1
RA-170,Aluno-170,2022,PEDE2022,4,P,Agata,Agata,Feminino,14.0,2008.0,2018,4.0,Rede Decisão,4.0,7.007,,,7.007,,,484.0,40.0,4.0,4.0,8.3,9.2,5.6,,4.9,5.792,10.0,Adequado,0.0,3.7,6.7,4.3,4.8999999999999995,7.7,0
RA-171,Aluno-171,2022,PEDE2022,4,P,Agata,Agata,Masculino,16.0,2006.0,2022,0.0,Escola Pública,6.0,6.581,,,6.581,,,632.0,57.0,7.0,4.0,7.5,6.8,7.5,,5.5,6.875,5.0,Defasagem moderada,1.0,3.0,8.0,,5.5,7.266666666666667,-2
RA-172,Aluno-172,2022,PEDE2022,4,P,Topazio,Topazio,Feminino,14.0,2008.0,2018,4.0,Rede Decisão,4.0,8.673,,,8.673,,,18.0,1.0,1.0,4.0,9.2,8.9,9.4,,7.3,8.917,10.0,Adequado,0.0,6.0,7.7,8.1,7.266666666666666,9.166666666666666,0
RA-173,Aluno-173,2022,PEDE2022,4,P,Ametista,Ametista,Masculino,17.0,2005.0,2019,3.0,Rede Decisão,7.0,7.816,,,7.816,,,198.0,18.0,2.0,4.0,8.3,9.2,6.9,,7.9,9.25,2.5,Defasagem severa,1.0,9.0,7.5,7.1,7.866666666666667,8.133333333333333,-3
RA-174,Aluno-174,2022,PEDE2022,4,P,Agata,Agata,Feminino,15.0,2007.0,2019,3.0,Escola Pública,5.0,6.075,,,6.075,,,713.0,64.0,8.0,4.0,7.9,6.2,7.5,,4.4,6.042,5.0,Defasagem moderada,1.0,4.0,5.3,3.8,4.366666666666667,7.2,-1
